N-dims,Number of Elements,Memory Size(in MB),Aesara_Np_AvgTime,Aesara_Sp_AvgTime
3,2000000,15.26,0.17557459999999997,0.15134522222222224
4,50000000,381.47,3.3319634999999996,3.907175555555556
5,100000000,762.94,7.299356499999999,9.083368777777778
6,200000000,1525.88,24.580347,21.846173888888888
7,400000000,3051.76,60.2550188,43.01327611111112
