data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.0007042865714341004,0.000769536471426753,0.0009021611285695274,0.0015617688285835486,0.000975054728574053,0.001137533400008189,0.001410075614278737,0.00286637842854751,0.0014410913000049601,0.0016810284714281027,0.0022503818571567536,0.0050060167142822005,0.002492999571425441,0.003897883285784961,0.008588095714388016
0.0007136245857109315,0.000767649128559112,0.0009034330428611221,0.0015652023142819027,0.0009628436714327629,0.0011212126571502137,0.001410817228565325,0.002858613000051784,0.0014138502428624115,0.0016828485999971494,0.0022549512857637766,0.005021703428439131,0.0025076277142423867,0.00387962242854493,0.008591221857100859
0.0006989106428560002,0.0008006344999968341,0.001248178328578693,0.0015694526999972627,0.0009627501285784612,0.0011119765857168075,0.0014083309142817076,0.0028708918570607366,0.0014204600142880476,0.0017818399714305997,0.002244384428735689,0.00501248171428285,0.002497380285640247,0.0039020640000567907,0.008656760999999407
0.0007354745857218015,0.000774651085700108,0.0010890957000000137,0.0015682683142700365,0.0009592296714295766,0.0011106794714245813,0.0014176370857167057,0.002862804285666373,0.001417320999990417,0.0017324062142953544,0.002249107428610192,0.00500517128559295,0.002492061142859581,0.0038993667143430296,0.00858651271430842
0.0007027171857189388,0.0007626948428473303,0.001017617785721086,0.0015577726142946631,0.000988619699991042,0.0011168694857125437,0.0014180728571539345,0.0028663665715638284,0.001406470657151658,0.0016811355142854153,0.0022380558571811495,0.005010210857061403,0.002502615285671449,0.003887792285698067,0.008568636857089586
0.0006940392285635296,0.000834597499991235,0.0009781759571383841,0.0015577649714375314,0.0009691763857179986,0.0011137667857193654,0.0014604583285649174,0.002862053714509654,0.0014030928857142238,0.0016798636571537437,0.0022479427142700716,0.005048851285578816,0.002496386000088283,0.003873950428678654,0.008588497142773122
0.0006903212999958278,0.0008300579714206313,0.0009655260714353062,0.0015555712714309007,0.0009667383428480077,0.001111575471436871,0.0014159442142866153,0.00287373014293345,0.0014060671428534467,0.001677346071427954,0.002252530857055847,0.005148189285620382,0.0024995607142669282,0.003875124285779228,0.009104991285629305
0.0006977986000045868,0.0007773533285861569,0.0009020057428611575,0.0015657284000023667,0.001036978542846295,0.001116711085712138,0.0014213858142944186,0.0028677938572530233,0.0014408079714298115,0.0016814608428560728,0.0022483314285221107,0.005010385142772326,0.0025001212856399697,0.0038781005713722804,0.008573524857139482
0.0006938022714208013,0.0007590719714228596,0.0008969945714343339,0.0015597229142939406,0.0010322834428516216,0.001108036885711564,0.0014217638999938832,0.0028577224284942666,0.0014149099285797483,0.00167762485714463,0.0022730781429813112,0.00502098871419938,0.0024997478571354543,0.0038727307143355053,0.00857757642865181
0.0007127617142728663,0.0007631195857372534,0.0009013394857174717,0.0016629935857074868,0.0009645690428608628,0.0011115032714276044,0.001409765514287366,0.0028707932856299784,0.001409515914282695,0.001694870999997615,0.002242105428511942,0.005014163856976665,0.002512015285652264,0.0038874974285551746,0.00858579514298721
0.0006917564142828008,0.000757954957154912,0.000899151871421574,0.0015551475428593612,0.0009629310000039238,0.001134643514283068,0.001434387571427838,0.0028805631429090033,0.0014513313285590683,0.0017212452999914862,0.00223754200003376,0.00502358871445592,0.002519416714286698,0.003910995285675329,0.008569051857256064
0.0007004768571433877,0.0008162422143006032,0.000897387157144424,0.0016404043999999497,0.0010194937999975602,0.0012063764571461691,0.001415179914287624,0.0029039431428204156,0.0014146585142838636,0.0016940755428679819,0.002241310857269647,0.005016035285661928,0.0025101215714156363,0.0038991018571791105,0.008585301428600879
0.0006957285714202693,0.000776123485710871,0.0008938064285653775,0.001680319671419316,0.0011451268000112448,0.001113507400000734,0.0014120245428556311,0.0028646891429421626,0.001433525771434818,0.0016833872428646177,0.002241506285666089,0.005017326428538321,0.002516341571380118,0.003880382142794718,0.009208494857219713
0.000700749671435915,0.0007745579285796598,0.0008945516142827857,0.0016479243571271322,0.0009679996857220041,0.001130609557140685,0.0014243087714421562,0.0028743691428098827,0.0014183408714265428,0.0016784570857084223,0.0022596001427986523,0.005103748000027346,0.0025165951429101238,0.0038966472856866727,0.008579253999965399
0.0006964363428581106,0.0007610048857251448,0.0009004516571543978,0.0015550720285807205,0.0009659711857176652,0.0011341431999961579,0.0014132206571354931,0.002871595428607959,0.00140751260000148,0.0016997103285726293,0.0022480145714611614,0.005025713285597574,0.0025047678571094626,0.003875654000023912,0.008594154142857796
